id,name,city,zip_code,phone,grade,address,geolocation
41295927,22 THAI CUISINE,MANHATTAN,10038,2127660988,A,22 MAIDEN LANE,"22 Thai Cuisine, 22, Maiden Lane, Southbridge Towers, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10038, United States of America"
50060377,3E TASTE OF THAI,QUEENS,11106,7189318826,A,3416 BROADWAY,"Broadway, Woodside, Queens County, NYC, New York, 11373, United States of America"
50051482,8 PAET RIO,QUEENS,11373,9178326672,A,8110 BROADWAY,"Broadway, Woodside, Queens County, NYC, New York, 11373, United States of America"
41480423,@NINE,MANHATTAN,10036,2123071363,A,592 9 AVENUE,
50009767,A PLUS THAI PLACE,MANHATTAN,10022,2122078080,B,1007 2ND AVE,"1007, 2nd Avenue, Tudor City, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10022, United States of America"
41560208,ABAYA THAI CUISINE,MANHATTAN,10018,2128683399,A,318 WEST   36 STREET,
50006360,ABSOLUTE THAI RESTAURANT,MANHATTAN,10029,9178643259,A,1590 LEXINGTON AVE,"1590, Lexington Avenue, Lexington Houses, Manhattan, Manhattan Community Board 11, New York County, NYC, New York, 10029, United States of America"
50035947,ACE LUCK,MANHATTAN,10018,2125947083,B,530 9TH AVE,"530, 9th Avenue, Hell's Kitchen, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10018, United States of America"
41639772,AM THAI BISTRO,BROOKLYN,11218,7182878888,B,1003 CHURCH AVENUE,"Am Thai Bistro, 1003, Church Avenue, Kensington, BK, Kings County, NYC, New York, 11218, United States of America"
50004613,AMARIN CAFE,BROOKLYN,11222,7183492788,A,617 MANHATTAN AVE,"Amarin Cafe, 617, Manhattan Avenue, Greenpoint, Kings County, NYC, New York, 11222, United States of America"
50007895,AMINA THAI,QUEENS,11432,7188801804,A,16922 HILLSIDE AVE,"Hillside Avenue, Morris Park, Queens, Queens County, NYC, New York, 11427, United States of America"
